"sound","word","token","speaker","pulses","points","pointsNorm","tokenNorm","pointsOrig","tokenWord","intensity","tokenSoundNorm","soundSurround","gender"
"l","ila","3","F 1971",0.000499999999999723,0.0988499999999997,0.997477295660945,"word",0.0986000000000002,"ila_3",71.4374,"l | word","ila","F"
"l","ila","3","F 1971",0.000499999999999723,0.0991,1,"word",0.0991,"ila_3",71.4374,"l | word","ila","F"
"l","ila","cf","F 1971",0.00169999999999959,0,0,"cf",0,"ila_cf",68.67,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00169999999999959,0.000849999999999795,0.00955056179775056,"cf",0,"ila_cf",68.67,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00630000000000042,0.00485000000000024,0.0544943820224749,"cf",0.00169999999999959,"ila_cf",68.651,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00629999999999953,0.0111499999999998,0.125280898876403,"cf",0.00800000000000001,"ila_cf",68.8499,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00620000000000065,0.0173999999999994,0.195505617977523,"cf",0.0142999999999995,"ila_cf",69.5919,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00599999999999934,0.0234999999999994,0.264044943820219,"cf",0.0205000000000002,"ila_cf",70.3369,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00609999999999999,0.0295499999999995,0.332022471910109,"cf",0.0264999999999995,"ila_cf",70.8734,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00600000000000023,0.0355999999999996,0.399999999999998,"cf",0.0325999999999995,"ila_cf",71.2989,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00600000000000023,0.0415999999999999,0.46741573033708,"cf",0.0385999999999997,"ila_cf",71.678,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00609999999999999,0.04765,0.535393258426969,"cf",0.0446,"ila_cf",71.796,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00600000000000023,0.0537000000000001,0.603370786516858,"cf",0.0507,"ila_cf",71.8732,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00609999999999999,0.0597500000000002,0.671348314606747,"cf",0.0567000000000002,"ila_cf",71.8787,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00609999999999999,0.0658500000000002,0.739887640449444,"cf",0.0628000000000002,"ila_cf",71.7663,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00609999999999999,0.0719500000000002,0.808426966292141,"cf",0.0689000000000002,"ila_cf",71.6546,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00619999999999976,0.0781000000000001,0.877528089887646,"cf",0.0750000000000002,"ila_cf",71.6067,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00600000000000023,0.0842000000000001,0.946067415730343,"cf",0.0811999999999999,"ila_cf",71.5855,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00179999999999936,0.0880999999999998,0.989887640449442,"cf",0.0872000000000002,"ila_cf",71.5717,"l | cf","ila","F"
"l","ila","cf","F 1971",0.00179999999999936,0.0889999999999995,1,"cf",0.0889999999999995,"ila_cf",71.5717,"l | cf","ila","F"
"lˀ","rolˀal","1","F 1971",0.00319999999999965,0,0,"word",0,"rolˀal_1",67.9331,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00319999999999965,0.00159999999999982,0.0110268780151607,"word",0,"rolˀal_1",67.9331,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00530000000000008,0.0058499999999988,0.0403170227429273,"word",0.00319999999999965,"rolˀal_1",67.5277,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00530000000000008,0.0111500000000007,0.0768435561681638,"word",0.00849999999999973,"rolˀal_1",67.0209,"lˀ | word","olˀa","F"
