"speaker","tokenWord","sound","tokenNorm","word","soundSurround","gender","duration","tokenSoundNorm","meanIntensity","meanPulses","maxPulse","StDevPulses","maxPoint","maxPulseNorm","skewness","centerGravity","skewnessNorm"
"F 1971","lˀala_3","l","word","lˀala","ala","F",0.109300000000005,"l | word",66.013541,0.00621052631578996,0.00710000000000832,0.0014039209920941,0.908966148215892,0.0649588289113268,-0.00101145161543105,0.500000000000008,"Left-skewed"
"F 1971","lˀala_cf","l","cf","lˀala","ala","F",0.0630000000000024,"l | cf",67.216779,0.00598333333333419,0.00689999999998747,0.00168135947880803,0.156349206349428,0.109523809523607,0.00186061226999269,0.500000000000013,"Right-skewed"
"F 1971","q'ali_1","l","word","q'ali","ali","F",0.0870999999999995,"l | word",65.162267,0.00585000000000013,0.00710000000000122,0.00156247666649173,0.920206659012672,0.0815154994259616,-0.000652276883250631,0.499999999999997,"Left-skewed"
"F 1971","q'ali_2","l","word","q'ali","ali","F",0.106100000000005,"l | word",65.739666,0.0063777777777787,0.00779999999999603,0.00122164573451034,0.929311969839707,0.0735155513665944,-0.00105780313256804,0.500000000000001,"Left-skewed"
"F 1971","q'ali_3","l","word","q'ali","ali","F",0.0941000000000045,"l | word",65.926691,0.00655000000000072,0.00730000000000075,0.000839841254839805,0.819872476089261,0.0775770456960723,-0.00118061040616953,0.500000000000007,"Left-skewed"
"F 1971","q'ali_cf","l","cf","q'ali","ali","F",0.0519999999999996,"l | cf",63.705883,0.00530000000000024,0.00660000000000593,0.00171230838343919,0.628846153846128,0.126923076923192,-0.000434687715674661,0.500000000000004,"Left-skewed"
"F 1971","relˀa_1","lˀ","word","relˀa","elˀa","F",0.134,"lˀ | word",62.509712,0.00890625000000012,0.0195000000000007,0.00484279103410396,0.558582089552248,0.145522388059707,-0.00976770852715778,0.500000000000002,"Left-skewed"
"F 1971","relˀa_2","lˀ","word","relˀa","elˀa","F",0.117000000000001,"lˀ | word",63.34943,0.00929230769230763,0.0213999999999999,0.00684585781555352,0.496581196581189,0.18290598290598,0.0055902041737754,0.500000000000003,"Right-skewed"
"F 1971","relˀa_3","lˀ","word","relˀa","elˀa","F",0.108999999999998,"lˀ | word",60.652187,0.0136999999999997,0.0225999999999971,0.00665215086352496,0.10366972477063,0.207339449541261,0.0276786522880369,0.500000000000001,"Right-skewed"
"F 1971","relˀa_cf","lˀ","cf","relˀa","elˀa","F",0.0688999999999993,"lˀ | cf",62.872043,0.00619999999999976,0.00890000000000057,0.00271628087983991,0.633526850507982,0.129172714078384,-0.00297465174925484,0.500000000000006,"Left-skewed"
"F 1971","rolˀal_1","lˀ","word","rolˀal","olˀa","F",0.145100000000001,"lˀ | word",66.398955,0.00731904761904773,0.0172000000000008,0.00378822109275829,0.567884217780835,0.118538938662995,-0.000345904515369715,0.499999999999998,"Left-skewed"
"F 1971","rolˀal_2","lˀ","word","rolˀal","olˀa","F",0.1327,"lˀ | word",64.446841,0.00746111111111109,0.0210000000000008,0.00589936575742418,0.531273549359465,0.158251695553887,-0.000646530150084372,0.499999999999998,"Left-skewed"
"F 1971","rolˀal_3","lˀ","word","rolˀal","olˀa","F",0.1252,"lˀ | word",64.084296,0.00719444444444445,0.0180999999999987,0.00415783770475516,0.662539936102241,0.144568690095837,-0.00760845032012906,0.500000000000002,"Left-skewed"
"F 1971","rolˀal_cf","lˀ","cf","rolˀal","olˀa","F",0.102599999999999,"lˀ | cf",65.878652,0.00663529411764695,0.00820000000000043,0.00104159803695491,0.568226120857697,0.0799220272904534,-0.000272171352944283,0.5,"Left-skewed"
"M 1963","belˀora_1","lˀ","word","belˀora","elˀo","M",0.0799999999999983,"lˀ | word",61.962807,0.00601333333333306,0.0103000000000009,0.00240531158263042,0.83687499999991,0.128750000000014,-0.012627939976565,0.499999999999991,"Left-skewed"
"M 1963","belˀora_2","lˀ","word","belˀora","elˀo","M",0.0705999999999989,"lˀ | word",60.749207,0.00607692307692367,0.00969999999999516,0.00165436485604824,0.812322946175644,0.137393767705316,-0.0112548431763926,0.500000000000018,"Left-skewed"
"M 1963","belˀora_3","lˀ","word","belˀora","elˀo","M",0.0712000000000046,"lˀ | word",66.293435,0.00487500000000018,0.00549999999999784,0.0011778511507523,0.18047752808968,0.0772471910112006,0.000249720919274803,0.5,"Right-skewed"
"M 1963","belˀora_cf","lˀ","cf","belˀora","elˀo","M",0.0808999999999997,"lˀ | cf",65.528081,0.00532941176470642,0.00570000000000448,0.000510838411194406,0.0352286773795965,0.0704573547590173,0.000637158375981783,0.500000000000008,"Right-skewed"
"M 1963","ila_1","l","word","ila","ila","M",0.0869,"l | word",65.05266,0.00847857142857121,0.0266999999999982,0.0077214166268415,0.153624856156532,0.307249712312982,0.105119997709095,0.50000000000001,"Right-skewed"
"M 1963","ila_2","l","word","ila","ila","M",0.0884999999999962,"l | word",69.05059,0.00467999999999975,0.00540000000000163,0.00144389823230762,0.15367231638415,0.0610169491525633,4.71307143543234e-05,0.5,"Right-skewed"
"M 1963","ila_3","l","word","ila","ila","M",0.0794999999999959,"l | word",67.682438,0.00576874999999966,0.011099999999999,0.00245756485163651,0.0698113207547143,0.139622641509429,0.00986898591089879,0.500000000000006,"Right-skewed"
"M 1963","ila_cf","l","cf","ila","ila","M",0.0705000000000027,"l | cf",68.32286,0.00512000000000038,0.0063999999999993,0.00132729585462841,0.102127659574529,0.0907801418439582,0.00121172687549671,0.49999999999999,"Right-skewed"
"M 1963","lˀala_1","l","word","lˀala","ala","M",0.0642999999999994,"l | word",68.394158,0.0047333333333332,0.00530000000000186,0.000874778883626413,0.501555209953312,0.0824261275272459,-9.26515695727845e-05,0.500000000000001,"Left-skewed"
"M 1963","lˀala_2","l","word","lˀala","ala","M",0.0818999999999974,"l | word",67.533087,0.0045684210526314,0.00529999999999831,0.00115520687496959,0.0555555555555797,0.0647130647130461,0.000189931583645478,0.50000000000001,"Right-skewed"
"M 1963","lˀala_3","l","word","lˀala","ala","M",0.0694000000000017,"l | word",69.017584,0.00455000000000005,0.00580000000000069,0.00170254711143852,0.776657060518695,0.0835734870317082,-0.000401088994574019,0.499999999999992,"Left-skewed"
"M 1963","lˀala_cf","l","cf","lˀala","ala","M",0.0693999999999946,"l | cf",67.357455,0.00503333333333273,0.00589999999999691,0.00124250131742845,0.0842939481267393,0.0850144092218641,0.000345330950484162,0.500000000000003,"Right-skewed"
"M 1963","q'ali_1","l","word","q'ali","ali","M",0.0788,"l | word",66.677157,0.00505882352941176,0.00560000000000005,0.00115707542079666,0.587563451776647,0.0710659898477164,0.000285733280060908,0.5,"Right-skewed"
"M 1963","q'ali_2","l","word","q'ali","ali","M",0.0937000000000001,"l | word",66.025278,0.00470952380952383,0.00530000000000008,0.00147136153337804,0.0805763073639291,0.0565635005336187,-0.000149142691449038,0.5,"Left-skewed"
"M 1963","q'ali_3","l","word","q'ali","ali","M",0.0851999999999995,"l | word",67.604651,0.0049555555555555,0.00640000000000018,0.00163643163521497,0.0622065727699544,0.0751173708920214,0.000664345453230554,0.5,"Right-skewed"
"M 1963","q'ali_cf","l","cf","q'ali","ali","M",0.0802000000000005,"l | cf",66.519149,0.00469444444444446,0.00590000000000046,0.00155392187789946,0.0804239401496263,0.0735660847880352,0.000144575477368443,0.5,"Right-skewed"
"M 1963","relˀa_1","lˀ","word","relˀa","elˀa","M",0.0823999999999998,"lˀ | word",58.520027,0.00662142857142811,0.0157000000000025,0.00352162081814832,0.805218446601943,0.190533980582555,-0.0254966495358774,0.499999999999988,"Left-skewed"
"M 1963","relˀa_2","lˀ","word","relˀa","elˀa","M",0.0876999999999981,"lˀ | word",62.986764,0.00579411764705849,0.0102999999999938,0.00175765134065133,0.751995438996524,0.11744583808431,-0.00867059538851246,0.499999999999987,"Left-skewed"
"M 1963","relˀa_3","lˀ","word","relˀa","elˀa","M",0.0882000000000005,"lˀ | word",63.042695,0.00589999999999983,0.0106999999999999,0.00222345451943453,0.829365079365136,0.121315192743763,-0.00912251555949654,0.500000000000002,"Left-skewed"
"M 1963","relˀa_cf","lˀ","cf","relˀa","elˀa","M",0.123600000000003,"lˀ | cf",60.724019,0.0135357142857145,0.0630000000000024,0.0210235255457706,0.745145631067958,0.509708737864084,-0.415350735548153,0.499999999999999,"Left-skewed"
"M 1963","rolˀal_1","lˀ","word","rolˀal","olˀa","M",0.114199999999997,"lˀ | word",55.357746,0.114199999999997,0.114199999999997,0,0.5,1,NA,0.5,"NaN"
"M 1963","rolˀal_2","lˀ","word","rolˀal","olˀa","M",0.0655999999999963,"lˀ | word",62.980741,0.00493333333333273,0.00569999999999737,0.000930181753873713,0.956554878048744,0.0868902439024039,-0.00136222599031763,0.500000000000001,"Left-skewed"
"M 1963","rolˀal_3","lˀ","word","rolˀal","olˀa","M",0.0863000000000014,"lˀ | word",63.107993,0.00530588235294135,0.0109999999999957,0.00268641736059322,0.713789107763587,0.127462340672022,-0.00695784114223889,0.500000000000008,"Left-skewed"
"M 1963","rolˀal_cf","lˀ","cf","rolˀal","olˀa","M",0.069199999999995,"lˀ | cf",61.599183,0.00465624999999914,0.00560000000000116,0.00154314343684218,0.576589595375704,0.080924855491352,0.000548961964749276,0.5,"Right-skewed"
